objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
demo_001,weisman00012.jpg,,Acceptance of Longing (Study) II,Enrique Martinez Celaya,1997, ,"Celaya, Enrique Martinez"; Peggy and Eric Lieber; Ron Hall; Oil and Graphite on Paper","Malibu, California", , , https://pepperdine.contentdm.oclc.org/digital/collection/p15730coll35/id/33/rec/3, ,painting,image/jpeg,eng,© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners., 
demo_002,weisman00001.jpg,,Admirer,George McNeil,1983,Admlrer by George McNeil,"McNeil, George; Mrs. Victor (Linda) Weingarten ","Spokane, Washington",47.66432,-117.428031,, ,Image;StillImage,image/ipeg,eng,@ Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners., 
demo_003,weisman00010.jpg,,Briar Hopper,Charles Arnoldi,1991,Briar Hopper by Charles Arnoldi,"Arnoldi, Charles; Frederick R. Weisman Art Foundation",,,,, ,sculputure,image/ipeg,eng,@ Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.,
demo_004,https://pepperdine.contentdm.oclc.org/digital/api/singleitem/image/p15730coll35/55/default.jpg, ,Cat Face Woman,Gywnn Murrill,1987,Cat Face Woman by Gywnn Murrill,"Murrill, Gywnn; Peggy and Eric Lieber; Sculpture","Moscow, Idaho",46.726113,-117.015671, , ,sculputure,image/ipeg,eng,@ Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.,https://creativecommons.org/licenses/by/4.0/
demo_005,weisman00042.jpg,,"Celia, Malibu",David Hockney,1973,"Celia, Malibu by David Hockney","Hockney, David; Peggy and Eric Lieber; drawing",Bonner County;Priest River Experimental Forest;Benton Creek,48.34472222,-116.8483333,, ,drawing,image/jpeg,eng,@ Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.,https://creativecommons.org/publicdomain/mark/1.0/
demo_006,august.jpg,,August,Pepperdine University Libraries,12/13/2021,August description,August subject,,,,,,,image/jpeg,eng,© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.,
demo_007,https://pepperdine.contentdm.oclc.org/digital/api/singleitem/image/p15730coll35/12/default.jpg,,Carmen from the Merry Go World Seies title,Edward and Nancy Reddin Kienholz,1991,Carmen from the Merry Go World Seies ,"Kienholz, Edward ; Reddin, Nancy; Mixed Media; Peggy and Eric Lieber",,,,, ,,image/jpeg,eng,@ Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.,
demo_008,100_breaths.jpg,,"100 Breaths, #75 and 100 Breaths, #106",Lita Alberquerque,1989,"100 Breaths, #75 and 100 Breaths, #106",Weisman Museum Art Digital collection; Frederick Weisman ,"Malibu, California",,,"Frederick R. Weisman Museum Art Digital Collection, Pepperdine University Libraries", ,painting,image/jpeg,eng,@ Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.,
demo_009,https://pepperdine.contentdm.oclc.org/digital/api/singleitem/image/p15730coll35/35/default.jpg,,Chicago,John Register,1989 ,Chicago oil on canvas,Chicago,,,,,,painting,image/jpeg,eng,,
demo_010,weisman00003.jpg,,A Lot More of Ann Combing her Hair,David Hockney,1979,"A lot of more of Ann Combing her hair by Hockney, David",David Hockney,,,,,,lithographs,image/ipeg,eng,@ Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.,
