title,description,creator,recipient,date,date-is-approximate,latitude,longitude,item-information,subject,related-publication,publisher-digital,source,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,cdmid,objectid,youtubeid,object_thumb,object_download,reference_url
"Cougar II","","","","","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","image/jpeg","","","6","","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/6","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/6/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/.html"
"Cougar II","","","","","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","image/jpeg","","","7","","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/7","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/7/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/.html"
"Cougar II","","","","1990","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","Still Image","image/jpeg","","","8","coll008","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/8","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/8/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/coll008.html"
"Quasar-Light","","","","","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","image/jpeg","","","9","","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/9","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/9/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/.html"
"Quasar-Light","","","","","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","image/jpeg","","","10","","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/10","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/10/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/.html"
"Quasar-Light","","","","1974, 1978","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","Still Image","image/jpeg","","","11","coll0011","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/11","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/11/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/coll0011.html"
"Carmen from the Merry Go World","","","","","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","image/jpeg","","","12","","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/12","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/12/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/.html"
"Carmen from the Merry Go World","","","","","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","image/jpeg","","","13","","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/13","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/13/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/.html"
"Carmen from the Merry Go World","","","","1991","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","Still Image","image/jpeg","","","14","coll0014","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/14","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/14/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/coll0014.html"
"Celia, Malibu","","","","","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","image/jpeg","","","15","","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/15","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/15/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/.html"
